      y   pressure cooktime
1  196.6      400        3
2  196.0      400        3
3  198.5      400        3
4  197.2      400        3
5  197.5      400        3
6  196.6      400        3
7  197.7      500        3
8  196.0      500        3
9  196.0      500        3
10 196.9      500        3
11 195.6      500        3
12 196.2      500        3
13 199.8      650        3
14 199.4      650        3
15 198.4      650        3
16 197.6      650        3
17 197.4      650        3
18 198.1      650        3
19 198.4      400        4
20 198.6      400        4
21 197.5      400        4
22 198.1      400        4
23 197.6      400        4
24 198.4      400        4
25 199.6      500        4
26 200.4      500        4
27 198.7      500        4
28 198.0      500        4
29 197.0      500        4
30 197.8      500        4
31 200.6      650        4
32 200.9      650        4
33 199.6      650        4
34 199.0      650        4
35 198.5      650        4
36 199.8      650        4
