y    distance    hand
0.00  short      left
1.5   short      left
0.0   short      left
0.625 short      left
2.00  short      left
3.375 short      right
0.375 short      right
2.125 short      right
0.250 short      right
0.50  short      right
3.50  medium     left
3.25  medium     left
0.125 medium     left
3.25  medium     left
2.125 medium     left
1.00  medium     right
4.875 medium     right
1.00  medium     right
3.25  medium     right
4.625 medium     right
13.25  long      left
7.00   long      left
8.125  long      left
7.75   long      left
8.75   long      left
3.125  long      right
1.125  long      right
14.375 long      right
3.375  long      right
9.125  long      right
