    y potash irrigation
1  16    low        old
2  37    low        old
3  15    low        old
4  16    low        old
5  19    low        new
6  18    low        new
7  18    low        new
8  23    low        new
9  39   high        old
10 38   high        old
11 39   high        old
12 37   high        old
13 16   high        new
14 17   high        new
15 18   high        new
16 17   high        new
17 15 medium        old
18 44 medium        old
19 44 medium        old
20 43 medium        old
21 16 medium        new
22 19 medium        new
23 22 medium        new
24 20 medium        new
