student A  B
1 18 17 
2 20 19 
3 20 16 
4 15 14 
5 17 11 
6 16 19 
7 13 14 
8 22 21 
9 18 17 
10 16 14 
11 15 19 
12 13 14 
13 12 15 
14 21 16 
15 13 12 
16 20 14 
17 18 15 
18 7 10 
19 16 23 
20 13 14 
21 19 22 
22 10 19 
23 18 15
24 11 13 
25 14 13 
26 24 21 
27 16 16 
28 12 13 
29 12 12 
30 17 15 
31 17 22 
32 15 16 
33 20 19 
34 21 22 
35 19 17 
36 19 21 
37 15 18 
38 12 10 
39 20 12 
40 17 19 
41 17 16 
42 21 19 
43 16 15 
44 14 14 
45 16 16 
46 16 18 
47 20 13 
48 17 15 
49 17 17 
50 13 12 
51 18 12 
52 16 20 
53 19 17 
54 11 17 
55 15 18 
56 22 25 
57 17 13 
58 12 11 
59 18 19 
60 12 19 
